Record_ID,Date,Shift,Line,Production_Volume,Average_Cycle_Time,Defects_Total,Defect_Rate,Downtime_Total,Defects_Dimensional,Defects_Surface,Defects_Assembly,Defects_Material,Defects_Other,Downtime_Maintenance,Downtime_Setup/Changeover,Downtime_Breakdown,Downtime_Material Shortage,Downtime_Operator Absence,Quality_FPY,Quality_DPMO,Quality_RTY,Quality_Sigma_Level,TimeMotion_Setup_Time_Minutes,TimeMotion_Movement_Time_Seconds,TimeMotion_Machine_Time_Seconds,TimeMotion_Operator_Utilization,TimeMotion_WIP_Average,Efficiency_Factor,Quality_Factor,Reliability_Factor
1,2023-01-02,Morning,Line A,376,64.88,2,0.0053,2.6910490467665142,1,0,0,1,0,0.8,0.8,0.4,0.4,0.3,0.9947,5319,0.992,6.0,12.2,7.8,57.1,0.51,24.2,0.723,0.809,0.797
2,2023-01-02,Afternoon,Line A,384,66.32,1,0.0026,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9974,2604,0.9961,6.0,24.7,13.2,53.1,0.48,18.3,0.716,0.805,0.838
3,2023-01-02,Night,Line A,359,62.28,0,0.0,0.8036943550255379,0,0,0,0,0,0.3,0.1,0.2,0.1,0.1,1.0,0,1.0,6.0,15.3,12.4,49.9,0.54,15.5,0.762,0.809,0.789
4,2023-01-03,Morning,Line A,382,66.04,2,0.0052,4.682058513981399,2,0,0,0,0,1.3,1.2,1.0,0.8,0.3,0.9948,5235,0.9922,6.0,15.2,12.6,53.4,0.6,17.5,0.74,0.824,0.815
5,2023-01-03,Afternoon,Line A,367,65.32,3,0.0082,4.639611474609029,1,1,0,1,0,1.6,1.2,1.1,0.4,0.3,0.9918,8174,0.9878,6.0,19.3,14.6,50.7,0.48,20.1,0.727,0.81,0.817
6,2023-01-03,Night,Line A,382,68.54,0,0.0,5.131303569057228,0,0,0,0,0,1.7,1.2,1.0,0.9,0.4,1.0,0,1.0,6.0,17.3,10.4,58.2,0.69,24.1,0.733,0.796,0.8
7,2023-01-04,Morning,Line A,381,66.94,1,0.0026,13.484843079179962,0,1,0,0,0,3.9,2.7,3.4,2.0,1.5,0.9974,2624,0.9961,6.0,25.2,14.5,52.4,0.61,23.5,0.741,0.793,0.818
8,2023-01-04,Afternoon,Line A,360,67.26,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,6.0,25.9,10.0,57.2,0.6,15.8,0.729,0.822,0.816
9,2023-01-04,Night,Line A,347,60.48,3,0.0086,2.152240765147065,0,0,2,0,1,0.6,0.6,0.3,0.5,0.1,0.9914,8645,0.9871,6.0,8.0,12.6,47.8,0.45,21.2,0.763,0.8,0.782
10,2023-01-05,Morning,Line A,377,71.49,1,0.0027,5.204191620654387,1,0,0,0,0,1.4,1.6,1.0,0.6,0.6,0.9973,2652,0.996,6.0,11.2,17.6,53.9,0.45,23.3,0.725,0.839,0.817
11,2023-01-05,Afternoon,Line A,360,60.27,1,0.0028,13.136957259019502,1,0,0,0,0,3.8,4.3,1.8,2.2,0.9,0.9972,2777,0.9958,6.0,15.4,7.5,52.8,0.68,14.5,0.786,0.807,0.797
12,2023-01-05,Night,Line A,385,63.87,1,0.0026,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.9974,2597,0.9961,6.0,19.5,15.5,48.3,0.45,20.5,0.774,0.771,0.839
13,2023-01-06,Morning,Line A,351,65.35,5,0.0142,0.0,3,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.9858,14245,0.9787,6.0,20.4,12.7,52.7,0.6,18.6,0.746,0.82,0.781
14,2023-01-06,Afternoon,Line A,351,58.61,2,0.0057,0.9307157399933053,0,2,0,0,0,0.3,0.2,0.2,0.1,0.1,0.9943,5698,0.9915,6.0,16.7,14.4,44.2,0.5,24.2,0.784,0.787,0.846
15,2023-01-06,Night,Line A,372,63.01,3,0.0081,5.384436520323603,2,1,0,0,0,2.0,0.8,1.1,0.9,0.6,0.9919,8064,0.9879,6.0,17.4,10.4,52.7,0.36,19.5,0.737,0.805,0.783
